image,variant,psnr,mse,entropy_cover,entropy_stego,entropy_diff,lsb_entropy_cover,lsb_entropy_stego,lsb_entropy_diff,lsb_block_entropy_cover_mean,lsb_block_entropy_stego_mean,lsb_block_entropy_diff,chi_square_cover,chi_square_stego,chi_square_diff,histogram_diff,modified_bits,modified_bits_percent,modified_pixels,modified_pixels_percent
airplane,lsb1,51.5312479808636,0.4570414225260417,6.663908051897585,6.663086308564159,-0.000821743333426106,0.9999487928988025,0.9962500299252846,-0.0036987629735178995,0.9998557945789812,0.9960784710311642,-0.003777323547817013,3577.567980083855,4660.954473604094,1083.3864935202391,0.08266194661458333,359432,5.713017781575521,359432,45.70414225260417
airplane,lsb4,38.46442259508568,9.260578155517578,6.663908051897585,6.66675114994512,0.002843098047534909,0.9999487928988025,0.9966745673597908,-0.003274225539011688,0.9998557945789812,0.988890573251211,-0.010965221327770225,3577.567980083855,12221.954245407742,8644.386265323887,0.21601359049479166,358924,5.704943339029947,169176,21.5118408203125
airplane,lsbi,50.41800700183295,0.5905812581380209,6.663908051897585,6.663542880680954,-0.000365171216631488,0.9999487928988025,0.996420221143896,-0.0035285717549065065,0.9998557945789812,0.996139148944478,-0.003716645634503246,3577.567980083855,4163.105878194262,585.5378981104068,0.08040110270182292,360593,5.731471379597982,360574,45.849355061848954
baboon,lsb4,37.53358050462964,11.474197222222223,6.950279500803191,7.2329686636212,0.28268916281800927,0.9992177458166955,0.9982896821176638,-0.0009280636990317559,0.9967681879462351,0.9903693395270275,-0.00639884841920757,145821.61984330384,116899.55233488539,-28922.067508418448,0.32605833333333334,369932,6.422430555555556,170275,23.649305555555557
lenna,lsb1,51.583688514315035,0.45155588785807294,5.68222474874237,6.667882229665676,0.9856574809233063,0.9937274078144787,0.9968490361059834,0.003121628291504752,0.9389777769453498,0.9933352205878004,0.054357443642450654,786432.0,15488.89771987896,-770943.1022801211,0.9031117757161459,355118,5.644448598225912,355118,45.155588785807296
lenna,lsb4,38.959583551189596,8.262700398763021,5.68222474874237,6.5120806397116615,0.8298558909692915,0.9937274078144787,0.9862354327185621,-0.007491975095916592,0.9389777769453498,0.9392110246379416,0.00023324769259180922,786432.0,589812.103040069,-196619.896959931,0.367431640625,381807,6.068658828735352,169889,21.602503458658852
lenna,lsbi,51.41336358796941,0.46961720784505206,5.68222474874237,6.6662668203280635,0.9840420715856935,0.9937274078144787,0.9957839297247599,0.0020565219102812726,0.9389777769453498,0.9929401757028955,0.053962398757545715,786432.0,17235.185143654104,-769196.8148563459,0.9132639567057291,359125,5.708138147989908,359114,45.663706461588546
pepper,lsb1,51.53843110088977,0.45628611246744794,7.669825514176317,7.694989408189027,0.02516389401271013,0.9986910005295664,0.9962179106980704,-0.002473089831495967,0.9967088264282935,0.9960599773866063,-0.0006488490416871606,26573.780338202298,4521.399890823055,-22052.38044737924,0.1012420654296875,358838,5.7035764058430996,358838,45.628611246744796
pepper,lsb4,38.57764041820024,9.02228037516276,7.669825514176317,7.674781902920025,0.004956388743708295,0.9986910005295664,0.9945523292032222,-0.004138671326344157,0.9967088264282935,0.9870814243828501,-0.009627402045443434,26573.780338202298,27505.98217045503,932.2018322527329,0.20805867513020834,358808,5.703099568684896,168165,21.383285522460938
pepper,lsbi,51.286369102640975,0.4835522969563802,7.669825514176317,7.6946307850781235,0.02480527090180651,0.9986910005295664,0.9964522383723698,-0.002238762157196539,0.9967088264282935,0.9961448109205782,-0.000564015507715343,26573.780338202298,4915.39646763114,-21658.383870571157,0.11316172281901042,361629,5.74793815612793,361618,45.982106526692704
